Date,Open,High,Low,Close,Volume
2012-03-22,24.9035,25.5151,24.792,24.9694,3104981.9430351
2012-03-23,25.0274,25.8508,25.0274,25.5941,1833385.0905526
2012-03-26,25.1803,25.7339,25.1803,25.3253,519765.27746652
2012-03-27,25.6873,25.9835,25.3314,25.7524,2337748.2462402
2012-03-28,25.6012,25.9967,25.2515,25.3639,1524072.6115351
2012-03-29,24.6856,25.1346,24.3113,24.8376,4211708.7210033
2012-03-30,25.0274,25.1144,24.3244,24.5995,3551861.9767207
2012-04-02,24.8315,24.929,24.3693,24.5995,1381954.0678767
2012-04-03,24.6988,25.2391,24.6328,24.929,2626292.7837515
2012-04-04,24.7383,24.9483,24.4686,24.5749,1074349.7745243
2012-04-05,24.7638,24.7638,24.1197,24.5283,505495.49728432
2012-04-10,24.9633,24.9633,23.7094,23.7094,1644080.3362159
2012-04-11,23.8034,24.35,23.8034,23.9475,1309933.72823
2012-04-12,24.2252,24.5213,23.9475,24.5011,1226241.7348989
2012-04-13,24.4686,24.5547,24.0793,24.0793,1184702.4377914
2012-04-16,24.1733,24.4747,24.0468,24.1777,1436239.3206457
2012-04-17,24.1126,25.161,24.1056,24.7638,2036604.5591637
2012-04-18,25.023,25.5231,24.8974,24.8974,2096336.4319145
2012-04-19,25.0274,25.3569,24.5336,24.5995,1864255.3399522
2012-04-20,24.6988,24.726,24.3244,24.4686,1907489.1663436
2012-04-23,24.4686,24.5599,23.9149,23.9475,1400222.8916477
2012-04-24,24.0397,24.3359,23.9149,24.0397,1538984.2416274
2012-04-25,23.9747,24.7058,23.9018,24.0397,2739446.143169
2012-04-26,24.2383,24.4817,23.7762,24.1531,2474100.3829935
2012-04-27,24.0275,24.2778,23.9282,24.1733,2096372.8489307
2012-04-30,24.1267,24.3034,24.0205,24.2313,759785.27895518
2012-05-02,24.364,24.364,23.7094,23.7094,813205.62759004
2012-05-04,23.7094,23.7902,23.053,23.3421,2613373.8472631
2012-05-07,23.2832,23.8438,23.1513,23.8288,1713886.0660665
2012-05-08,23.9089,23.9089,23.06,23.0855,2035580.3305837
2012-05-09,23.2173,23.3693,22.2086,22.6636,2312586.3641261
2012-05-10,22.8228,23.0468,22.4651,22.9203,1749860.3878895
2012-05-11,22.6971,22.9273,22.5644,22.9273,1106175.9705985
2012-05-14,22.8412,22.8412,22.3931,22.6636,2399841.5348837
2012-05-15,22.6636,22.901,22.1374,22.2683,1161533.2492812
2012-05-16,21.9985,22.2498,21.466,22.1496,2733857.2692177
2012-05-17,22.1962,22.3808,21.741,21.7753,1948786.0626871
2012-05-18,21.669,22.4142,21.3473,22.1962,2081028.7667713
2012-05-21,22.3605,22.56,22.2612,22.5196,1312863.0219686
2012-05-22,22.5196,22.9861,22.3931,22.7288,1629412.2449193
2012-05-23,22.4932,22.6373,22.0969,22.1628,4057656.7763567
